name,jpName,attr,atk,sp,se,notion,skillLv,item1,item2,item3,item4,item5,item6,buy,sell
雙手劍,クレイモア,,11,,,扱いやすい両手剣。リングの飾りが特徴的で、指を通して遊んだりもできる。,5,鐵,鐵,鐵,,,,960,190
雙手大劍,ツーハンドソード,,22,,,両手で扱う大剣。特に目立った點はないが、名前を言うときには、ツーではなく「トゥー」と発音する。,8,雙手劍,鐵,鐵,,,,1800,460
雙手大劍改,ツーハンドソード改,,36,魔攻+5,,不思議な力で強化された剣。剣の幅が非常に広くなって帰ってきた。気絶させやすく、のけぞり時間がやや長い。別名「ビンタソード」,15,雙手大劍,鐵,鐵,,,,3020,840
改良闊劍,グレートソード,,52,,,刃こぼれしにくいように加工された両手剣。重心のバランスも見直され、持ちやすくもなっている。,18,雙手劍,鐵,鐵,銅,,,4270,1010
裂海者,シーカッター,水,58,魔攻+25,,名の通り、海を切り裂くと伝えられる両手剣。耳を近づけると並みの音が聞こえると言う意外な一面も持つ。,21,雙手劍,鐵,海盜哥布林的布,巨人之爪,,,4880,1620
火焰之劍,フレイムセイバー,火,75,魔攻+35,,火の魔力を宿す剣。赤い刀身が特徴的。剣を一振りするだけで、汗が大量に出てしまうらしい。,25,雙手劍,銅,銀,火之結晶,,,9120,2520
旋風之劍,サイクロンブレード,風,83,魔攻+40,,風の魔力を宿す剣。細身に作られ、風を起こしやすいように小さな穴が開いている,27,雙手劍,銀,銀,豹爪,,,10840,2880
大魚,デカッシュ,水,76,魔攻+72,説明にはないが、刀身が長い,とても魚くさい。貓がよってくるかも。相手を気絶させやすい。,29,金槍魚,,,,,,11360,4000
大地之影,アースシェイド,地,97,,,大地の恩恵を受けた剣。地面を裂いたようなデザインが特徴的。,30,雙手劍,銀,結實的藤,結實的藤,,,11120,3010
熔巖之刃,ボルカノン,火,110,魔攻+50,,炎を宿す刀身が強い光を放つ。周囲の溫度を5度上げると言われるほど、熱いハートの持ち主。,32,雙手劍,銀,射手的火藥,射手的火藥,,,12320,3300
劇毒之刃,ポイズンブレード,,124,,,刀身に毒をぬった両手剣。かすり傷でも致命傷になりかねない危険なヤツ。,35,雙手劍,銀,蘑菇孢子,骨膠,,,12940,2880
大匕首,ビッグナイフ,,139,,,ビックなナイフ。とてもナイフがビック。これでリンゴを切るのはむずかしいかもしれない。,36,雙手劍,古代魚之骨,古代魚之骨,,,,13720,3520
波形劍,フランベルジュ,,147,,,特殊な形の刀身を持つ剣。裝飾的な外見などから儀式用としても使われる。,37,雙手劍,銀,銀,鬥牛之角,,,19660,3890
大蘿蔔,ダーイコーン,地,165,魔攻+120,容易吹飛對方,最初にこの武器を作ったのは農家で、大きな大根が収穫できたので、思わず武器にしてしまったという。相手を吹き飛ばしやすい。,42,蘿蔔,,,,,,24240,2110
波形劍改,フランベルジュ改,,171,,,不思議な力で強化された剣。刀身をスマートに改良し、扱いやすくした。,43,波形劍,金,金,鬥牛之角,,,21390,4200
精神之刃,サイコ,闇,168,魔攻+60,,変わった形の両手剣。三本の刃のそれぞれに別々の呪いがかかっていて、複數の狀態異常を引き起こす。,45,雙手劍,鬥牛之角,鬥牛之角,鬥牛之角,,,22320,3460
冰雪之刃,スノークラウン,水,181,魔攻+80,,水の力を宿す両手剣。剣のそばに積もった雪がいつまでも溶けることなく殘っていたためその名が付けられた。,46,雙手劍,金,水之結晶,水之結晶,,,25420,5000
太刀,太刀,,192,,有時給予對方致命一擊,東方から伝わった武器。美しさ、切れ味、折れにくさをあわせ持つ職人的武器。まれに一撃で相手を倒すことがある。,48,雙手劍,銀,銀,銀,金,,26620,6580
閃光之劍,シャインブレード,火,201,魔攻+90,,高熱を帯びた刃をもつ。剣先は冷えていて、溫度差によるダメージを與える。,50,雙手劍,金,射手的火藥,火之結晶,,,29290,6600
輕便雙手劍,カッツバルケル,,216,,,使いやすさを追い求めた剣。振りまわしやすいように、形狀がシンプルになった。,52,雙手劍,銀,銀,金,金,,33400,4800
大地粉碎者,グランドスマッシャー,地,232,魔攻+95,,トゲトゲの峰を持つ両手剣。大地の力を宿、そのトゲじゃ連なる山をかたどったと言われている。,55,雙手劍,金,地之結晶,狼牙,狼牙,,38280,7230
生物粉碎者,バイオスマッシャー,,243,,容易給予對方中毒效果,毒をぬりこんだ両手剣。ギザギザの形狀で、毒を與えやすいように作られている。,58,雙手劍,金,巨人之爪,毒粉,蟲皮,劇毒之刃,40360,7830
希伯萊,ベルゼビュート,闇,252,魔攻+175,吸收對方HP，容易使出會心一擊,悪魔の名を冠した両手剣。射程が短いが魔力が高く、相手の生命力を奪う力もある。その上、クリティカルも出やすく、ずるい。,63,雙手劍,小結晶,小結晶,魔力結晶,,,44444,8888
