name,jpName,se,time,skillLv,item,buy,sell
酸奶,ヨーグルト,RP+50%,3,5,白草，牛奶,600,300
蛋黃醬,マヨネーズ,HP+100，對麻痹的抗性提升,3,5,蛋,560,280
蘋果汁,りんごジュース,HP+20%，RP+30%，力量+1，智力+4,3,8,蘋果,160,80
奶油,バター,HP+20%，RP+15%，體力+5,3,9,牛奶,620,310
酸奶,ヨーグルト,RP+50%,3,10,白草，優質牛奶,600,300
蛋黃醬,マヨネーズ,HP+100，對麻痹的抗性提升,3,10,優質蛋,560,280
橙汁,オレンジジュース,HP+20%，RP+45%，力量-1，體力-1，智力+5,3,11,橙子/橘子,200,100
鳳梨汁,パインジュース,HP+20%，RP+40%，力量-1，智力+8,3,13,鳳梨,2960,1480
蔬菜汁,野菜ジュース,HP+70%，RP+65%，RP上限+20%，力量-8，體力+1，智力+12，對異常狀態的抗性略微提升,3,14,南瓜，櫻蕪菁，胡蘿蔔，菠菜,7240,3620
蛋黃醬,マヨネーズ,HP+100，對麻痹的抗性提升,3,15,每天健康蛋,560,280
蔬菜牛奶,野菜・オ・レ,HP+70%，RP+75%，HP上限+10，RP上限+30%，力量-10，體力+5，智力+16，對異常狀態的抗性略微提升,3,15,蔬菜汁，牛奶,13700,6850
草莓牛奶,いちご牛乳,HP+40%，RP+60%，體力+2，智力+8,3,15,草莓，甘甜粉，牛奶,2340,1170
葡萄汁,ぶどうジュース,HP+20%，RP+40%，體力+1，智力+3,3,15,葡萄,240,120
蔬菜牛奶,野菜・オ・レ,HP+70%，RP+75%，HP上限+10，RP上限+30%，力量-10，體力+5，智力+16，對異常狀態的抗性略微提升,3,16,蔬菜汁，優質牛奶,13700,6850
新鮮果汁,フルーツジュース,HP+55%，RP+60%，體力-8，智力+10,3,16,鳳梨，蘋果，葡萄，橘子,4760,2380
蔬菜牛奶,野菜・オ・レ,HP+70%，RP+75%，HP上限+10，RP上限+30%，力量-10，體力+5，智力+16，對異常狀態的抗性略微提升,3,17,蔬菜汁，富鈣牛奶,13700,6850
草莓牛奶,いちご牛乳,HP+40%，RP+60%，體力+2，智力+8,3,17,草莓，甘甜粉，優質牛奶,2340,1170
奶油,バター,HP+20%，RP+15%，體力+5,3,18,優質牛奶,620,310
果汁牛奶,フルーツ・オ・レ,HP+60%，RP+65%，體力-6，智力+14，治癒封印,3,18,果汁，牛奶,9600,4800
番茄汁,トマトジュース,HP+20%，RP+15%，智力+5，治癒疲勞,3,18,番茄,840,420
熱果汁,ホットジュース,HP+60%，RP+25%，HP上限+25%，RP上限-25%，力量-45，會心一擊出現概率大幅提升，火屬性抗性+1,3,19,火熱果實，紅草，香辛調料/重口味調料,15080,7540
果汁牛奶,フルーツ・オ・レ,HP+60%，RP+65%，體力-6，智力+14，治癒封印,3,19,果汁，優質牛奶,9600,4800
草莓牛奶,いちご牛乳,HP+40%，RP+60%，體力+2，智力+8,3,19,草莓，甘甜粉，富鈣牛奶,2340,1170
奶酪,チーズ,RP+75%,3,20,黃草，牛奶,660,330
酸奶,ヨーグルト,RP+50%,3,20,白草，富鈣牛奶,600,300
果汁牛奶,フルーツ・オ・レ,HP+60%，RP+65%，體力-6，智力+14，治癒封印,3,20,果汁，富鈣牛奶,9600,4800
混合果汁,ミックスジュース,HP+80%，RP+80%，RP上限+30%，力量-6，體力-6，智力+18，對所有異常狀態抗性略微提升,3,22,蔬菜汁，果汁,21900,10950
番茄醬,ケチャップ,HP+25%，RP+20%，HP上限+18,3,23,番茄，洋蔥,3240,1620
戀愛預感,戀の予感,HP+40%，RP+60%，HP上限-50%，RP上限-50%，全屬性抗性+2,3,24,少女甜瓜，草莓,13000,6500
奶酪,チーズ,RP+75%,3,25,黃草，優質牛奶,660,330
奶油,バター,HP+20%，RP+15%，體力+5,3,27,富鈣牛奶,620,310
混合牛奶,ミックス・オ・レ,HP+80%，RP+80%，HP上限+20%，體力+8，智力+19，對所有異常狀態抗性略微提升,3,28,果汁牛奶，蔬菜牛奶,44380,22190
奶酪,チーズ,RP+75%,3,30,黃草，富鈣牛奶,660,330
黃金果汁,ゴールドジュース,HP+50%，RP+50%，體力+10，智力+28%,3,32,金南瓜，金剛花，金馬鈴薯，金蕪菁，金捲心菜,83880,41940
